::1 -  GET /api/history 200 172.744 ms PostmanRuntime/7.44.0 Thu, 05 Jun 2025 07:37:40 GMT
 GET /docs/ 304 11.544 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:08:59 GMT
 GET /docs/swagger-ui-init.js 304 1.458 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:08:59 GMT
 GET /docs/swagger-ui.css 304 16.643 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:08:59 GMT
 GET /docs/swagger-ui-bundle.js 304 10.799 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:08:59 GMT
 GET /docs/swagger-ui-standalone-preset.js 304 12.330 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:08:59 GMT
 GET /docs/favicon-32x32.png 304 10.027 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:08:59 GMT
 GET /docs/ 304 2.964 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:09:01 GMT
 GET /docs/swagger-ui-init.js 304 0.897 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:09:01 GMT
 GET /docs/swagger-ui.css 304 18.346 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:09:01 GMT
 GET /docs/swagger-ui-bundle.js 304 14.440 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:09:01 GMT
 GET /docs/swagger-ui-standalone-preset.js 304 13.343 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:09:01 GMT
 GET /docs/favicon-32x32.png 304 0.816 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:09:01 GMT
 GET /docs/ 304 5.960 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:09:25 GMT
 GET /docs/swagger-ui-init.js 200 1.285 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:09:25 GMT
 GET /docs/swagger-ui.css 304 16.199 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:09:25 GMT
 GET /docs/swagger-ui-bundle.js 304 15.072 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:09:25 GMT
 GET /docs/swagger-ui-standalone-preset.js 304 14.150 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:09:25 GMT
 GET /docs/favicon-32x32.png 304 1.369 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:09:26 GMT
 POST /api/auth/login 200 321.684 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0 Thu, 05 Jun 2025 08:09:43 GMT
